#chrom	chromStart	chromEnd	start	end	gene	plusminus65bpexonlength	exonlength	averagemappabilityl1000m0	exonbelow1mappabilityl1000m01yes0no	positionsbelow1mappabilityl1000m0	percpositionsbelow1mappabilityl1000m0	maxcontigousbasesmappabilityl1000m0
chr1	69026	70073	69091	70008	OR4F5	1048	918	0.999363867366	True	1	0.000954198473282	1
chr1	367594	368662	367659	368597	OR4F16	1069	939	0.333333	True	1069	1	1069
chr1	367594	368662	367659	368597	OR4F29	1069	939	0.333333	True	1069	1	1069
chr1	367594	368662	367659	368597	OR4F3	1069	939	0.333333	True	1069	1	1069
chr1	621031	622099	621096	622034	OR4F16	1069	939	0.696912851263	True	486	0.45463049579	486
chr1	621031	622099	621096	622034	OR4F29	1069	939	0.696912851263	True	486	0.45463049579	486
chr1	621031	622099	621096	622034	OR4F3	1069	939	0.696912851263	True	486	0.45463049579	486
chr1	1568097	1568357	1568162	1568292	MMP23B	261	131	0.5	True	198	1	198
chr1	1568295	1568564	1568360	1568499	MMP23B	270	140	0.5	True	207	1	207
chr1	1568502	1568799	1568567	1568734	MMP23B	298	168	0.510067114094	True	292	0.979865771812	292
chr1	1577643	1577934	1577708	1577869	CDK11B	292	162	0.700342465753	True	175	0.599315068493	175
chr1	1640892	1641144	1640957	1641079	CDK11A	253	123	0.731225296443	True	136	0.537549407115	136
chr1	12977448	12977864	12977513	12977799	PRAMEF7	417	287	0.5	True	417	1	417
chr1	12977448	12977864	12977513	12977799	PRAMEF8	417	287	0.5	True	417	1	417
chr1	12979607	12980298	12979672	12980233	PRAMEF7	692	562	0.963391118497	True	38	0.0549132947977	38
chr1	12979607	12980298	12979672	12980233	PRAMEF8	692	562	0.963391118497	True	38	0.0549132947977	38
chr1	13036157	13036865	13036222	13036800	PRAMEF22	709	579	0.818758815233	True	257	0.362482369535	257
chr1	13112329	13112745	13112394	13112680	PRAMEF23	417	287	0.5	True	417	1	417
chr1	13112329	13112745	13112394	13112680	PRAMEF5	417	287	0.5	True	417	1	417
chr1	13328768	13329471	13328833	13329406	PRAMEF22	704	574	0.5	True	704	1	704
chr1	13328768	13329471	13328833	13329406	PRAMEF3	704	574	0.5	True	704	1	704
chr1	13330349	13331057	13330414	13330992	PRAMEF22	709	579	0.7023977433	True	422	0.595204513399	353
chr1	13330349	13331057	13330414	13330992	PRAMEF3	709	579	0.7023977433	True	422	0.595204513399	353
chr1	13386917	13387608	13386982	13387543	PRAMEF8	692	562	0.5	True	692	1	692
chr1	13388393	13389098	13388458	13389033	PRAMEF8	706	576	0.699716563739	True	318	0.450424929178	318
chr1	13389351	13389767	13389416	13389702	PRAMEF8	417	287	0.5	True	417	1	417
chr1	13424902	13425613	13424967	13425548	PRAMEF15	712	582	0.5	True	712	1	712
chr1	13424902	13425613	13424967	13425548	PRAMEF9	712	582	0.5	True	712	1	712
chr1	13427233	13427924	13427298	13427859	PRAMEF15	692	562	0.499459520231	True	692	1	692
chr1	13427233	13427924	13427298	13427859	PRAMEF9	692	562	0.499459520231	True	692	1	692
chr1	13447985	13448673	13448050	13448608	PRAMEF13	689	559	0.714804063861	True	393	0.570391872279	393
chr1	13449495	13450203	13449560	13450138	PRAMEF13	709	579	0.5	True	709	1	709
chr1	13450485	13450901	13450550	13450836	PRAMEF13	417	287	0.5	True	417	1	417
chr1	13474624	13475327	13474689	13475262	PRAMEF18	704	574	0.797585227273	True	285	0.404829545455	285
chr1	13474624	13475327	13474689	13475262	PRAMEF19	704	574	0.797585227273	True	285	0.404829545455	285
chr1	13476206	13476914	13476271	13476849	PRAMEF18	709	579	0.5	True	709	1	709
chr1	13476206	13476914	13476271	13476849	PRAMEF19	709	579	0.5	True	709	1	709
chr1	13477171	13477587	13477236	13477522	PRAMEF18	417	287	0.5	True	417	1	417
chr1	13477171	13477587	13477236	13477522	PRAMEF19	417	287	0.5	True	417	1	417
