#chrom	chromStart	chromEnd
chr1	817592	817593
chr1	823789	823790
chr1	825065	825066
chr1	825067	825068
chr1	934141	934142
chr1	1092664	1092665
chr1	1246245	1246246
chr1	1779795	1779796
chr1	1880381	1880382
chr1	1913395	1913396
chr1	2332639	2332640
chr1	2616657	2616658
chr1	2891127	2891128
chr1	3785222	3785223
chr1	4126628	4126629
chr1	4127164	4127165
chr1	4160224	4160225
chr1	4419919	4419920
chr1	4480338	4480339
chr1	4480340	4480341
chr1	4480359	4480360
chr1	4613691	4613692
chr1	4999626	4999627
chr1	5197208	5197209
chr1	5302558	5302559
chr1	5559538	5559539
chr1	5560903	5560904
chr1	5564398	5564399
chr1	5642881	5642882
chr1	5730367	5730368
chr1	5731252	5731253
chr1	5734750	5734751
chr1	5735175	5735176
chr1	5735924	5735925
chr1	5735953	5735954
chr1	5736004	5736005
chr1	5877296	5877297
chr1	5877301	5877302
chr1	5877303	5877304
chr1	5877304	5877305
chr1	5877314	5877315
chr1	5877315	5877316
chr1	5877324	5877325
chr1	5877327	5877328
chr1	5877328	5877329
chr1	6065019	6065020
chr1	6065150	6065151
chr1	6065159	6065160
chr1	6065983	6065984
chr1	6635754	6635755
chr1	6795729	6795730
chr1	6802157	6802158
chr1	7199290	7199291
chr1	7274918	7274919
chr1	7395198	7395199
chr1	7925100	7925101
chr1	7937194	7937195
chr1	8217854	8217855
chr1	8315497	8315498
chr1	8336985	8336986
chr1	8380738	8380739
chr1	8391489	8391490
chr1	8391490	8391491
chr1	8391492	8391493
chr1	8391493	8391494
chr1	8391494	8391495
chr1	8391495	8391496
chr1	8391496	8391497
chr1	8391497	8391498
chr1	8391498	8391499
chr1	8391499	8391500
chr1	8391501	8391502
chr1	8391502	8391503
chr1	8391503	8391504
chr1	8426988	8426989
chr1	8696000	8696001
chr1	8941465	8941466
chr1	8950356	8950357
chr1	9119612	9119613
chr1	9163156	9163157
chr1	9290877	9290878
chr1	9530181	9530182
chr1	10495758	10495759
chr1	10630903	10630904
chr1	10878092	10878093
chr1	11280102	11280103
chr1	11473904	11473905
chr1	11525260	11525261
chr1	11582905	11582906
chr1	11831052	11831053
chr1	11831058	11831059
chr1	12869488	12869489
chr1	12975427	12975428
chr1	13143954	13143955
chr1	13174024	13174025
chr1	13852287	13852288
chr1	14461500	14461501
chr1	14475563	14475564
chr1	14841091	14841092
chr1	14841092	14841093
chr1	14841093	14841094
chr1	14841098	14841099
chr1	14841100	14841101
chr1	14841111	14841112
chr1	14841113	14841114
chr1	14913927	14913928
chr1	15023653	15023654
chr1	15209837	15209838
chr1	15245196	15245197
chr1	15245198	15245199
chr1	15245200	15245201
chr1	15436732	15436733
chr1	15597634	15597635
chr1	16839002	16839003
chr1	16841487	16841488
chr1	16916961	16916962
chr1	16925991	16925992
chr1	16960908	16960909
chr1	17060007	17060008
chr1	17202033	17202034
chr1	17230001	17230002
chr1	17518433	17518434
chr1	17635667	17635668
chr1	17845297	17845298
chr1	17845317	17845318
chr1	17845333	17845334
chr1	18232731	18232732
chr1	18405481	18405482
chr1	18685955	18685956
chr1	18726928	18726929
chr1	19013389	19013390
chr1	19053841	19053842
chr1	19086298	19086299
chr1	19347389	19347390
chr1	19357436	19357437
chr1	19459094	19459095
chr1	19623703	19623704
chr1	19867760	19867761
chr1	20271003	20271004
chr1	20931995	20931996
chr1	21701085	21701086
chr1	21701128	21701129
chr1	21791187	21791188
chr1	21791189	21791190
chr1	21878598	21878599
chr1	21942599	21942600
chr1	21971392	21971393
chr1	21980084	21980085
chr1	22305944	22305945
chr1	22580688	22580689
chr1	22580690	22580691
chr1	22580692	22580693
chr1	22580694	22580695
chr1	22757876	22757877
chr1	23081400	23081401
chr1	23343667	23343668
chr1	23465191	23465192
chr1	23465193	23465194
chr1	23794461	23794462
chr1	24063919	24063920
chr1	24224830	24224831
chr1	25034691	25034692
chr1	25063433	25063434
chr1	25093514	25093515
chr1	25328636	25328637
chr1	25328637	25328638
chr1	25328656	25328657
chr1	25807421	25807422
chr1	26094559	26094560
chr1	26211185	26211186
chr1	26280725	26280726
chr1	26331210	26331211
chr1	26338772	26338773
chr1	26577422	26577423
chr1	26583414	26583415
chr1	26583416	26583417
chr1	26726360	26726361
chr1	27508582	27508583
chr1	28007367	28007368
chr1	28007370	28007371
chr1	28243104	28243105
chr1	28360170	28360171
chr1	28376703	28376704
chr1	28399615	28399616
chr1	28538682	28538683
chr1	29261176	29261177
chr1	29780319	29780320
chr1	30196407	30196408
chr1	30569438	30569439
chr1	30569442	30569443
chr1	31117733	31117734
chr1	31415039	31415040
chr1	31565965	31565966
chr1	31681480	31681481
chr1	31726368	31726369
chr1	31726369	31726370
chr1	32044600	32044601
chr1	32044601	32044602
chr1	32045825	32045826
chr1	32060996	32060997
chr1	32061000	32061001
chr1	32061001	32061002
chr1	32580053	32580054
chr1	32618638	32618639
chr1	33059800	33059801
chr1	33204232	33204233
chr1	33218544	33218545
chr1	33218548	33218549
chr1	33218552	33218553
chr1	33218553	33218554
chr1	33218554	33218555
chr1	33218555	33218556
chr1	33218558	33218559
chr1	33218559	33218560
chr1	33218560	33218561
chr1	33218562	33218563
chr1	33369624	33369625
chr1	33655272	33655273
chr1	33655284	33655285
chr1	33655285	33655286
chr1	33655298	33655299
chr1	33655300	33655301
chr1	33658606	33658607
chr1	34380010	34380011
chr1	34615672	34615673
chr1	34736822	34736823
chr1	34736826	34736827
chr1	35950398	35950399
chr1	35950400	35950401
chr1	36876846	36876847
chr1	37098173	37098174
chr1	37544050	37544051
chr1	37568488	37568489
chr1	37772984	37772985
chr1	37801098	37801099
chr1	37801102	37801103
chr1	38167344	38167345
chr1	38342372	38342373
chr1	38461407	38461408
chr1	38760815	38760816
chr1	38909009	38909010
chr1	39195372	39195373
chr1	39762449	39762450
chr1	39762455	39762456
chr1	39762456	39762457
chr1	39971655	39971656
chr1	40008419	40008420
chr1	40008421	40008422
chr1	42189149	42189150
chr1	42290452	42290453
chr1	43652303	43652304
chr1	44098677	44098678
chr1	44313964	44313965
chr1	44341606	44341607
chr1	44341609	44341610
chr1	44341612	44341613
chr1	44341615	44341616
chr1	44341618	44341619
chr1	44535182	44535183
chr1	44975554	44975555
chr1	45254930	45254931
chr1	45279898	45279899
chr1	45310071	45310072
chr1	45408114	45408115
chr1	45451804	45451805
chr1	45451808	45451809
chr1	45513741	45513742
chr1	46178536	46178537
chr1	46297451	46297452
chr1	46441165	46441166
chr1	47006038	47006039
chr1	47735912	47735913
chr1	48057106	48057107
chr1	48469616	48469617
chr1	48661877	48661878
chr1	49281762	49281763
chr1	49307067	49307068
chr1	49359374	49359375
chr1	50484975	50484976
chr1	50747658	50747659
chr1	51823097	51823098
chr1	51823098	51823099
chr1	52348086	52348087
chr1	52574660	52574661
chr1	53249613	53249614
chr1	53452679	53452680
chr1	54005190	54005191
chr1	54070613	54070614
chr1	54070621	54070622
chr1	54782328	54782329
chr1	54782330	54782331
chr1	54915295	54915296
chr1	55274657	55274658
chr1	55274658	55274659
chr1	55274659	55274660
chr1	55274660	55274661
chr1	55274661	55274662
chr1	55344994	55344995
chr1	55344995	55344996
chr1	55344996	55344997
chr1	55397965	55397966
chr1	55397972	55397973
chr1	57120932	57120933
chr1	57155565	57155566
chr1	57642644	57642645
chr1	57906926	57906927
chr1	58380800	58380801
chr1	58491316	58491317
chr1	58766301	58766302
chr1	59048002	59048003
chr1	59270921	59270922
chr1	59274594	59274595
chr1	60312251	60312252
chr1	61491196	61491197
chr1	61665681	61665682
chr1	61934049	61934050
chr1	62417949	62417950
chr1	62743993	62743994
chr1	62744032	62744033
chr1	62744036	62744037
chr1	62744039	62744040
chr1	62744043	62744044
chr1	62744062	62744063
chr1	63182882	63182883
chr1	63327278	63327279
chr1	63336867	63336868
chr1	63493035	63493036
chr1	63581463	63581464
chr1	63806449	63806450
chr1	63806452	63806453
chr1	63806466	63806467
chr1	63865990	63865991
chr1	64393630	64393631
chr1	64480399	64480400
chr1	65344228	65344229
chr1	65518731	65518732
chr1	65583430	65583431
chr1	65772680	65772681
chr1	66908977	66908978
chr1	66908979	66908980
chr1	67125823	67125824
chr1	67358681	67358682
chr1	67358689	67358690
chr1	67358691	67358692
chr1	67358714	67358715
chr1	67510014	67510015
chr1	67693745	67693746
chr1	67758425	67758426
chr1	68081883	68081884
chr1	68097147	68097148
chr1	68628560	68628561
chr1	69129876	69129877
chr1	69129880	69129881
chr1	69129882	69129883
chr1	69129884	69129885
chr1	69129886	69129887
chr1	70775411	70775412
chr1	70775413	70775414
chr1	70861352	70861353
chr1	71112980	71112981
chr1	71113621	71113622
chr1	71113622	71113623
chr1	71401353	71401354
chr1	71447058	71447059
chr1	71528251	71528252
chr1	72063152	72063153
chr1	72137573	72137574
chr1	72154051	72154052
chr1	72887380	72887381
chr1	73014528	73014529
chr1	73101802	73101803
chr1	73101806	73101807
chr1	73366221	73366222
chr1	74405623	74405624
chr1	74405644	74405645
chr1	74405646	74405647
chr1	74420043	74420044
chr1	74723345	74723346
chr1	74779742	74779743
chr1	76240290	76240291
chr1	76240292	76240293
chr1	76240294	76240295
chr1	76240296	76240297
chr1	76240298	76240299
chr1	76240304	76240305
chr1	76240305	76240306
chr1	76240308	76240309
chr1	77941063	77941064
chr1	78336788	78336789
chr1	78336800	78336801
chr1	78336806	78336807
chr1	79060930	79060931
chr1	79141188	79141189
chr1	79141190	79141191
chr1	79562391	79562392
chr1	79562423	79562424
chr1	79619892	79619893
chr1	80252968	80252969
chr1	80524165	80524166
chr1	80794865	80794866
chr1	80794958	80794959
chr1	80794988	80794989
chr1	80795003	80795004
chr1	80958430	80958431
chr1	80959868	80959869
chr1	81264053	81264054
chr1	81264057	81264058
chr1	81967449	81967450
chr1	82176311	82176312
chr1	82647248	82647249
chr1	83306525	83306526
chr1	83479242	83479243
chr1	83484591	83484592
chr1	84886831	84886832
chr1	85222452	85222453
chr1	85222460	85222461
chr1	85264797	85264798
chr1	85545727	85545728
chr1	85562193	85562194
chr1	85858472	85858473
chr1	85924106	85924107
chr1	86002630	86002631
chr1	86002656	86002657
chr1	86002658	86002659
chr1	86046178	86046179
chr1	87263020	87263021
chr1	87451089	87451090
chr1	88968627	88968628
chr1	88983174	88983175
chr1	89352608	89352609
chr1	89874242	89874243
chr1	89874244	89874245
chr1	90124620	90124621
chr1	90854818	90854819
chr1	91158654	91158655
chr1	91357323	91357324
chr1	91357333	91357334
chr1	91924964	91924965
chr1	92026812	92026813
chr1	92375233	92375234
chr1	92681845	92681846
chr1	93251792	93251793
chr1	93262942	93262943
chr1	93286786	93286787
chr1	93286867	93286868
chr1	93311064	93311065
chr1	93432732	93432733
chr1	93843416	93843417
chr1	93843417	93843418
chr1	94478781	94478782
chr1	95166281	95166282
chr1	95197006	95197007
chr1	95197008	95197009
chr1	98685108	98685109
chr1	98969134	98969135
chr1	99228995	99228996
chr1	99647839	99647840
chr1	99692250	99692251
chr1	99779364	99779365
chr1	99779365	99779366
chr1	99779367	99779368
chr1	100249425	100249426
chr1	100292543	100292544
chr1	100625160	100625161
chr1	100654907	100654908
chr1	101653197	101653198
chr1	101836347	101836348
chr1	101867624	101867625
chr1	102000809	102000810
chr1	102511036	102511037
chr1	102559141	102559142
chr1	102669899	102669900
chr1	102896088	102896089
chr1	102959369	102959370
chr1	102969162	102969163
chr1	103638629	103638630
chr1	103645593	103645594
chr1	103739094	103739095
chr1	104409052	104409053
chr1	104863640	104863641
chr1	105092477	105092478
chr1	105249415	105249416
chr1	105508927	105508928
chr1	105508928	105508929
chr1	105508962	105508963
chr1	105508981	105508982
chr1	105509178	105509179
chr1	105511102	105511103
chr1	105562753	105562754
chr1	105606378	105606379
chr1	105617926	105617927
chr1	106100568	106100569
chr1	106637567	106637568
chr1	106973902	106973903
chr1	106973903	106973904
chr1	106974004	106974005
chr1	106974005	106974006
chr1	107363633	107363634
chr1	108461324	108461325
chr1	108584937	108584938
chr1	108723240	108723241
chr1	108787552	108787553
chr1	108917555	108917556
chr1	108917557	108917558
chr1	109360104	109360105
chr1	109416036	109416037
chr1	109471609	109471610
chr1	109764621	109764622
chr1	109769320	109769321
chr1	110729740	110729741
