#chrom	chromStart	chromEnd	start	end	gene	plusminus65bpexonlength	exonlength	averagemappabilityl250m5	exonmappbelow1l250m51yes0no	positionsmappbelow1l250m5	percpositionsmappbelow1l250m5	maxcontigousbasesl250m5
chr1	69026	70073	69091	70008	OR4F5	1048	918	0.345499082	True	1048	1	1048
chr1	367594	368662	367659	368597	OR4F16	1069	939	0.100718107	True	1069	1	1069
chr1	367594	368662	367659	368597	OR4F29	1069	939	0.100718107	True	1069	1	1069
chr1	367594	368662	367659	368597	OR4F3	1069	939	0.100718107	True	1069	1	1069
chr1	621031	622099	621096	622034	OR4F16	1069	939	0.10041138	True	1069	1	1069
chr1	621031	622099	621096	622034	OR4F29	1069	939	0.10041138	True	1069	1	1069
chr1	621031	622099	621096	622034	OR4F3	1069	939	0.10041138	True	1069	1	1069
chr1	1389660	1389945	1389725	1389880	ATAD3C	286	156	0.434149017	True	276	0.965	209
chr1	1391540	1391794	1391605	1391729	ATAD3C	255	125	0.333333	True	255	1	255
chr1	1394476	1394676	1394541	1394611	ATAD3C	201	71	0.547263682	True	182	0.9055	146
chr1	1407200	1407534	1407265	1407469	ATAD3B	335	205	0.5	True	335	1	335
chr1	1413959	1414190	1414024	1414125	ATAD3B	232	102	0.5	True	232	1	232
chr1	1416182	1416381	1416247	1416316	ATAD3B	200	70	0.55	True	180	0.9	149
chr1	1417453	1417748	1417518	1417683	ATAD3B	296	166	0.513513514	True	288	0.973	198
chr1	1420331	1420616	1420396	1420551	ATAD3B	286	156	0.349650049	True	286	1	286
chr1	1421859	1422113	1421924	1422048	ATAD3B	255	125	0.333333	True	255	1	255
chr1	1447584	1447918	1447649	1447853	ATAD3A	335	205	0.5	True	335	1	335
chr1	1452482	1452857	1452547	1452792	ATAD3A	376	246	0.5	True	376	1	376
chr1	1454236	1454435	1454301	1454370	ATAD3A	200	70	0.55	True	180	0.9	149
chr1	1455456	1455751	1455521	1455686	ATAD3A	296	166	0.515202703	True	287	0.9696	198
chr1	1458059	1458344	1458124	1458279	ATAD3A	286	156	0.449883287	True	268	0.9371	166
chr1	1459588	1459842	1459653	1459777	ATAD3A	255	125	0.333333	True	255	1	255
chr1	1461776	1461976	1461841	1461911	ATAD3A	201	71	0.544776119	True	183	0.9104	148
chr1	1568097	1568357	1568162	1568292	MMP23B	261	131	0.5	True	198	1	198
chr1	1568295	1568564	1568360	1568499	MMP23B	270	140	0.5	True	207	1	207
chr1	1568502	1568799	1568567	1568734	MMP23B	298	168	0.5	True	298	1	298
chr1	1569062	1569356	1569127	1569291	MMP23B	295	165	0.5	True	241	1	241
chr1	1569303	1569543	1569368	1569478	MMP23B	241	111	0.5	True	213	1	213
chr1	1569516	1569772	1569581	1569707	MMP23B	257	127	0.5	True	246	1	246
chr1	1569762	1570066	1569827	1570001	MMP23B	305	175	0.5	True	305	1	305
chr1	1571061	1571283	1571126	1571218	CDK11B	223	93	0.5	True	173	1	173
chr1	1571234	1571553	1571299	1571488	CDK11B	320	190	0.5015625	True	319	0.9969	319
chr1	1572378	1572629	1572443	1572564	CDK11B	252	122	0.549603175	True	227	0.9008	109
chr1	1572705	1572940	1572770	1572875	CDK11B	236	106	0.508474576	True	232	0.9831	228
chr1	1573059	1573310	1573124	1573245	CDK11B	252	122	0.5	True	252	1	252
chr1	1573797	1574017	1573862	1573952	CDK11B	221	91	0.5	True	221	1	221
chr1	1575573	1575878	1575638	1575813	CDK11B	306	176	0.5	True	306	1	306
chr1	1576958	1577246	1577023	1577181	CDK11B	289	159	0.5	True	244	1	244
chr1	1577202	1577427	1577267	1577362	CDK11B	226	96	0.5	True	226	1	226
chr1	1577643	1577934	1577708	1577869	CDK11B	292	162	0.5	True	292	1	292
chr1	1606837	1607094	1606902	1607029	SLC35E2B	258	128	0.5	True	258	1	258
chr1	1607438	1607703	1607503	1607638	SLC35E2B	266	136	0.528195489	True	251	0.9436	226
chr1	1607752	1608203	1607817	1608138	SLC35E2B	452	322	0.5	True	452	1	452
chr1	1634281	1634503	1634346	1634438	CDK11A	223	93	0.5	True	173	1	173
chr1	1634454	1634773	1634519	1634708	CDK11A	320	190	0.5015625	True	319	0.9969	319
chr1	1635597	1635848	1635662	1635783	CDK11A	252	122	0.547619048	True	228	0.9048	109
chr1	1635924	1636159	1635989	1636094	CDK11A	236	106	0.508474576	True	232	0.9831	228
chr1	1636278	1636529	1636343	1636464	CDK11A	252	122	0.5	True	252	1	252
chr1	1637016	1637236	1637081	1637171	CDK11A	221	91	0.5	True	221	1	221
chr1	1638783	1639088	1638848	1639023	CDK11A	306	176	0.5	True	306	1	306
chr1	1640168	1640456	1640233	1640391	CDK11A	289	159	0.5	True	244	1	244
chr1	1640412	1640637	1640477	1640572	CDK11A	226	96	0.5	True	226	1	226
chr1	1640892	1641144	1640957	1641079	CDK11A	253	123	0.5	True	253	1	253
chr1	1643638	1643904	1643703	1643839	CDK11A	267	137	0.5	True	267	1	267
chr1	1643638	1643931	1643703	1643866	CDK11B	294	164	0.5	True	294	1	294
chr1	1654082	1654322	1654147	1654257	CDK11A	241	111	0.5	True	241	1	241
chr1	1654082	1654322	1654147	1654257	CDK11B	241	111	0.5	True	241	1	241
chr1	1656788	1656926	1656853	1656861	SLC35E2	139	9	0.5	True	139	1	139
chr1	1669695	1669952	1669760	1669887	SLC35E2	258	128	0.5	True	258	1	258
